iteration,time_sampling,stoc_pol_mean,stoc_pol_mean_recon,stoc_pol_std,stoc_pol_max,stoc_pol_min,t_opt,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_recon_score
0,15.959864854812622,195.80921052631578,253.22368421052633,221.52897914127792,608,-818,12.167174577713013,0.038541794,0.0070096836,195.80921052631578,0.0,30400,5.301538467407227,1.0010257151734763,0.34005776530602905,160.25,41.25
1,14.862294673919678,191.5328947368421,252.82894736842104,188.84660015901926,586,-364,12.130245447158813,0.026955603,0.005042759,195.38157894736844,0.0,30400,7.742949962615967,0.3210702695331371,0.30727858430907745,166.0,45.0
2,16.54966163635254,200.23026315789474,259.07894736842104,230.65962250156036,556,-1231,15.559812068939209,0.036064148,0.0061429394,195.8664473684211,0.0,30400,7.697019577026367,0.4163438353325353,0.4024310690715409,235.875,95.0
3,16.086047649383545,180.35526315789474,258.0921052631579,235.9040116985234,545,-1007,13.033562898635864,0.034448624,0.0082428325,194.31532894736844,0.0,30400,7.417714357376099,0.42127731885973907,0.40291049767877557,196.75,62.5
4,15.705952882766724,189.20394736842104,256.9078947368421,202.49023169473313,516,-911,12.439455270767212,0.0351057,0.00631694,193.8041907894737,0.0,30400,7.762753009796143,0.33174572702845523,0.3139767658981412,191.5,55.0
5,15.960038423538208,191.43421052631578,258.61842105263156,215.59958228686685,534,-735,11.935397624969482,0.038606644,0.005825805,193.5671927631579,0.0,30400,7.526055574417114,0.30537813464525865,0.2839956364291643,195.75,61.25
6,15.55796766281128,238.10526315789474,265.4605263157895,167.85171862683856,568,-426,12.11569094657898,0.02758217,0.0059625874,198.0209998026316,0.0,30400,7.275118827819824,0.23554779051792946,0.21917532850658697,204.625,67.5
7,16.530590057373047,216.40131578947367,256.9736842105263,177.1249284020366,590,-410,12.01623272895813,0.03842545,0.007264673,199.8590314013158,0.0,30400,7.468786716461182,0.22978343723633068,0.21914400922692212,192.5,55.0
8,15.380385875701904,198.21052631578948,248.35526315789474,206.24383983077905,533,-715,12.634599685668945,0.030374529,0.0055880398,199.6941808927632,0.0,30400,7.4921205043792725,0.3216665772728868,0.29507176133230206,191.0,55.0
9,15.581321716308594,197.29605263157896,261.64473684210526,200.94958253567086,584,-490,11.986493349075317,0.035059925,0.006515149,199.4543680666448,0.0,30400,7.375938892364502,0.32280332845165716,0.3078143105685752,202.25,65.0
10,17.09903049468994,216.82236842105263,261.44736842105266,197.81806839584766,594,-916,12.260010004043579,0.03816127,0.0066818963,201.19116810208558,0.0,30400,7.580568790435791,0.26649448484626415,0.2528224383414233,200.0,60.0
11,15.526004791259766,210.73026315789474,258.1578947368421,174.4363467977396,511,-344,12.02325177192688,0.039001465,0.008671436,202.1450776076665,0.0,30400,7.5154807567596436,0.23360586355334204,0.22357587181164273,183.0,45.0
12,15.38968276977539,194.41447368421052,254.3421052631579,187.08893340077276,499,-369,12.07638430595398,0.042088512,0.008385503,201.3720172153209,0.0,30400,7.7179319858551025,0.28097108551593836,0.2611055404026555,185.25,46.25
13,16.35444927215576,224.92763157894737,265.9868421052632,183.48383343290135,570,-436,12.66797661781311,0.044508927,0.007208681,203.72757865168356,0.0,30400,7.355342626571655,0.21910503612805965,0.20156363054833076,187.5,47.5
14,14.856943607330322,185.95394736842104,258.1578947368421,202.25896437149285,510,-785,12.195088148117065,0.04486942,0.0068120267,201.95021552335731,0.0,30400,7.283078670501709,0.33205425621956336,0.3159286274147047,178.5,42.5
15,16.282383918762207,213.69078947368422,259.5394736842105,188.8882722374537,563,-583,12.027145385742188,0.04423427,0.0074792183,203.12427291839,0.0,30400,7.064062595367432,0.2901688071955601,0.2690247333996377,188.0,50.0
16,17.607356309890747,204.77631578947367,261.7105263157895,177.83886102786914,658,-342,12.071040868759155,0.024888994,0.0049937423,203.28947720549837,0.0,30400,7.1848766803741455,0.2295266416179158,0.21273856320242712,182.5,46.25
17,15.430554866790771,210.19078947368422,258.55263157894734,186.61213411613065,523,-506,11.951432228088379,0.04799175,0.01006063,203.97960843231698,0.0,30400,7.218056678771973,0.23581624344389762,0.21642391685891915,183.0,47.5
18,16.681493043899536,214.22368421052633,260.19736842105266,198.26886308908198,518,-736,12.602428197860718,0.03613567,0.006047559,205.00401601013792,0.0,30400,7.408963441848755,0.2792317695139432,0.25856548096024995,182.0,45.0
19,15.501149654388428,206.1578947368421,266.8421052631579,195.14782201621705,530,-517,11.99932861328125,0.025259016,0.005613908,205.11940388280834,0.0,30400,7.559752464294434,0.2591803145642349,0.2388580617313662,181.5,43.75
20,16.205507040023804,246.32236842105263,266.11842105263156,155.11021556731183,594,-260,12.208565711975098,0.024193762,0.005105978,209.23970033663278,0.0,30400,7.757050037384033,0.19492631824109308,0.16264104327543333,181.5,43.75
21,16.798604011535645,234.2434210526316,266.7763157894737,172.28567909108216,532,-351,15.488320350646973,0.02896595,0.006364209,211.74007240823266,0.0,30400,9.15743112564087,0.22768553268929662,0.2126312933020677,181.5,43.75
22,15.510854721069336,204.7434210526316,261.5131578947368,197.6084145046289,565,-553,12.028159618377686,0.02380276,0.00569031,211.04040727267255,0.0,30400,7.53658652305603,0.31231708507726214,0.28112222592236197,193.25,53.75
23,16.765808582305908,207.32236842105263,259.86842105263156,198.6608324299458,480,-632,12.691915035247803,0.038514145,0.0059195436,210.66860338751056,0.0,30400,8.495265483856201,0.26566247752277444,0.24537568900082585,184.0,46.25
24,16.879438400268555,214.53947368421052,260.9868421052632,189.77482784588034,586,-754,11.980485439300537,0.049096104,0.010080527,211.05569041718059,0.0,30400,7.6942808628082275,0.24153345476319235,0.22765131377599507,191.25,56.25
25,16.433968544006348,218.15131578947367,266.1842105263158,171.82747466834363,515,-574,12.239485263824463,0.048899647,0.010432693,211.7652529544099,0.0,30400,7.707112073898315,0.2599412772495995,0.2444958505633718,191.0,55.0
26,16.41314959526062,208.81578947368422,267.63157894736844,191.07161171488582,608,-411,11.877656936645508,0.044917103,0.006107509,211.47030660633732,0.0,30400,7.844193696975708,0.25619513111001024,0.2369302537173258,180.0,43.75
27,15.556143283843994,220.31578947368422,263.0921052631579,187.27985044385173,549,-567,12.072863817214966,0.040895462,0.008480987,212.354854893072,0.0,30400,8.1618070602417,0.28933870939527573,0.2605542012219888,182.0,45.0
