[0.08224743 0.08164912 0.21189344]
[-0.02348574  0.08430235  0.21920321]
[0.05876787 0.08205053 0.21120328]
[0.08052231 0.0814409  0.20788714]
[0.05988869 0.08291041 0.21055639]
[-0.01739887  0.08768248  0.21620073]
[0.05740115 0.08226589 0.21071677]
[0.07901013 0.08150711 0.2071419 ]
[0.05825321 0.08318307 0.21002495]
[-0.01543142  0.08839959  0.21684582]
[0.05626046 0.08271395 0.21170388]
[0.07764323 0.08181526 0.20784168]
[0.05726512 0.08377536 0.21076626]
[-0.01548323  0.08944322  0.21892441]
[0.07636168 0.08218919 0.20873634]
[-0.01587887  0.09004836  0.22019144]
[0.05726512 0.08377536 0.21076626]
[-0.01548323  0.08944322  0.21892441]
[0.07528586 0.08257024 0.20939796]
[-0.01587887  0.09004836  0.22019144]
[0.05726512 0.08377536 0.21076626]
[-0.01548323  0.08944322  0.21892441]
[0.07452533 0.08293197 0.2098621 ]
[-0.01587887  0.09004836  0.22019144]
[0.05726512 0.08377536 0.21076626]
[-0.01548323  0.08944322  0.21892441]
[0.07414267 0.08324992 0.21021094]
[-0.01587887  0.09004836  0.22019144]
[0.05726512 0.08377536 0.21076626]
[-0.01548323  0.08944322  0.21892441]
[0.07412053 0.08349879 0.21049904]
[-0.01587887  0.09004836  0.22019144]
[0.05726512 0.08377536 0.21076626]
[-0.01548323  0.08944322  0.21892441]
[0.07439719 0.08364144 0.21071361]
[-0.01587887  0.09004836  0.22019144]
[0.05726512 0.08377536 0.21076626]
[-0.01548323  0.08944322  0.21892441]
[0.07467691 0.08366389 0.210892  ]
[-0.01587887  0.09004836  0.22019144]
[0.05726512 0.08377536 0.21076626]
[-0.01548323  0.08944322  0.21892441]
[0.07468027 0.08358449 0.21110973]
[-0.01587887  0.09004836  0.22019144]
[0.05726512 0.08377536 0.21076626]
[-0.01548323  0.08944322  0.21892441]
[0.07427331 0.08342359 0.21141605]
[-0.01587887  0.09004836  0.22019144]
[0.05726512 0.08377536 0.21076626]
[-0.01548323  0.08944322  0.21892441]
[0.07353225 0.08318987 0.21179212]
[-0.01548323  0.08944322  0.21892441]
[0.07237547 0.08286836 0.21188728]
[-0.01548323  0.08944322  0.21892441]
[0.07102567 0.08250521 0.2119195 ]
[0.05868988 0.08577371 0.21066437]
[0.05941004 0.0859525  0.21060542]
[-0.01548323  0.08944322  0.21892441]
[0.05711911 0.08538728 0.21095897]
[0.05941004 0.0859525  0.21060542]
[-0.01548323  0.08944322  0.21892441]
[0.05584412 0.08498629 0.21114365]
[0.05941004 0.0859525  0.21060542]
[-0.01548323  0.08944322  0.21892441]
[0.05476035 0.08459481 0.21130975]
[0.05941004 0.0859525  0.21060542]
[-0.01548323  0.08944322  0.21892441]
[0.0538849  0.08421838 0.21144458]
[0.05941004 0.0859525  0.21060542]
[-0.01548323  0.08944322  0.21892441]
[0.05316042 0.08385381 0.21158739]
[0.05941004 0.0859525  0.21060542]
[-0.01548323  0.08944322  0.21892441]
[0.05254208 0.08350132 0.21172186]
[0.05941004 0.0859525  0.21060542]
[-0.01548323  0.08944322  0.21892441]
[0.05194231 0.08315115 0.21181367]
[0.05941004 0.0859525  0.21060542]
[-0.01548323  0.08944322  0.21892441]
[0.05132846 0.08281113 0.2119067 ]
[0.05941004 0.0859525  0.21060542]
[-0.01548323  0.08944322  0.21892441]
[0.05068492 0.08247986 0.21194664]
[0.05941004 0.0859525  0.21060542]
[-0.01548323  0.08944322  0.21892441]
[0.04997633 0.08215838 0.21203518]
[0.05941004 0.0859525  0.21060542]
[-0.01548323  0.08944322  0.21892441]
[0.04922536 0.08185524 0.21203515]
[0.05941004 0.0859525  0.21060542]
[-0.01548323  0.08944322  0.21892441]
[0.04873234 0.0816781  0.21211187]
[0.05941004 0.0859525  0.21060542]
[-0.01548323  0.08944322  0.21892441]
[0.04754377 0.08129051 0.21212732]
[-0.00851145  0.08744219  0.20757322]
[-0.01548323  0.08944322  0.21892441]
[0.04697214 0.08102601 0.21216208]
[-0.00858932  0.08723959  0.20782941]
[-0.01548323  0.08944322  0.21892441]
[-0.00846305  0.08719937  0.20812505]
[-0.01548323  0.08944322  0.21892441]
[0.04630529 0.08051838 0.21221766]
[-0.0082255   0.0872504   0.20815398]
[0.04611793 0.08027721 0.21221559]
[-0.00797652  0.08726098  0.20811619]
[0.04600267 0.08005624 0.21218571]
[-0.00778863  0.08723536  0.20801149]
[-0.0076721   0.08706028  0.20787436]
[-0.00770262  0.08712688  0.2079011 ]
[0.04582549 0.07962695 0.21221526]
[-0.00749004  0.08694625  0.20752862]
[-0.0073369   0.08680197  0.20720979]
[-0.00749004  0.08694625  0.20752862]
[-0.0072893   0.08666832  0.20674792]
[-0.0072596   0.08669452  0.20676444]
[-0.00749004  0.08694625  0.20752862]
[0.00460356 0.08122061 0.20275491]
[-0.00749004  0.08694625  0.20752862]
[0.00508613 0.08108137 0.20262533]
[0.00534661 0.08104629 0.20277046]
[0.00557817 0.08107806 0.20303727]
[0.00546358 0.08106303 0.20295967]
[-0.00691215  0.08629303  0.20783121]
[0.00546358 0.08106303 0.20295967]
[-0.00691215  0.08629303  0.20783121]
[0.00546358 0.08106303 0.20295967]
[0.00343617 0.08121971 0.20296928]
[-0.00691215  0.08629303  0.20783121]
[0.00546358 0.08106303 0.20295967]
[0.00343617 0.08121971 0.20296928]
[-0.00691215  0.08629303  0.20783121]
[0.00546358 0.08106303 0.20295967]
[0.00343617 0.08121971 0.20296928]
[-0.00691215  0.08629303  0.20783121]
[0.00546358 0.08106303 0.20295967]
[0.00343617 0.08121971 0.20296928]
[-0.00691215  0.08629303  0.20783121]
[0.00546358 0.08106303 0.20295967]
[0.00343617 0.08121971 0.20296928]
[-0.00691215  0.08629303  0.20783121]
[0.00546358 0.08106303 0.20295967]
[0.00343617 0.08121971 0.20296928]
[-0.00691215  0.08629303  0.20783121]
[0.00546358 0.08106303 0.20295967]
[0.00343617 0.08121971 0.20296928]
[-0.00691215  0.08629303  0.20783121]
[0.00546358 0.08106303 0.20295967]
